CV (%),Value,agg_level_desc,asd_code,asd_desc,begin_code,class_desc,commodity_desc,congr_district_code,country_code,country_name,county_ansi,county_code,county_name,domain_desc,domaincat_desc,end_code,freq_desc,group_desc,load_time,location_desc,prodn_practice_desc,reference_period_desc,region_desc,sector_desc,short_desc,source_desc,state_alpha,state_ansi,state_fips_code,state_name,statisticcat_desc,unit_desc,util_practice_desc,watershed_code,watershed_desc,week_ending,year,zip_5
"","110,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,ALABAMA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,AL,01,01,ALABAMA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","145,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,ARKANSAS,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,AR,05,05,ARKANSAS,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","80,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,CALIFORNIA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,CA,06,06,CALIFORNIA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","1,880,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,COLORADO,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,CO,08,08,COLORADO,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","35,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,DELAWARE,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,DE,10,10,DELAWARE,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","110,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,GEORGIA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,GA,13,13,GEORGIA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","640,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,IDAHO,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,ID,16,16,IDAHO,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","610,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,ILLINOIS,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,IL,17,17,ILLINOIS,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","270,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,INDIANA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,IN,18,18,INDIANA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","7,000,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,KANSAS,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,KS,20,20,KANSAS,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","350,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,KENTUCKY,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,KY,21,21,KENTUCKY,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","160,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MARYLAND,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,MD,24,24,MARYLAND,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","560,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MICHIGAN,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,MI,26,26,MICHIGAN,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","70,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MISSISSIPPI,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,MS,28,28,MISSISSIPPI,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","490,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MISSOURI,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,MO,29,29,MISSOURI,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","1,730,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,MONTANA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,MT,30,30,MONTANA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","840,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NEBRASKA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,NE,31,31,NEBRASKA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","16,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NEW JERSEY,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,NJ,34,34,NEW JERSEY,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","75,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NEW MEXICO,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,NM,35,35,NEW MEXICO,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","125,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NEW YORK,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,NY,36,36,NEW YORK,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","345,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NORTH CAROLINA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,NC,37,37,NORTH CAROLINA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","60,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,NORTH DAKOTA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,ND,38,38,NORTH DAKOTA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","515,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,OHIO,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,OH,39,39,OHIO,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","2,950,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,OKLAHOMA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,OK,40,40,OKLAHOMA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","705,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,OREGON,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,OR,41,41,OREGON,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","195,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,PENNSYLVANIA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,PA,42,42,PENNSYLVANIA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","100,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,SOUTH CAROLINA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,SC,45,45,SOUTH CAROLINA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","720,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,SOUTH DAKOTA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,SD,46,46,SOUTH DAKOTA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","330,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,TENNESSEE,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,TN,47,47,TENNESSEE,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","2,000,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,TEXAS,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,TX,48,48,TEXAS,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","98,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,UTAH,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,UT,49,49,UTAH,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","120,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,VIRGINIA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,VA,51,51,VIRGINIA,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","1,690,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,WASHINGTON,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,WA,53,53,WASHINGTON,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","245,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,WISCONSIN,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,WI,55,55,WISCONSIN,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","95,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,WYOMING,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,WY,56,56,WYOMING,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"",0,STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,OTHER STATES,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES HARVESTED",SURVEY,OT,"",98,OTHER STATES,AREA HARVESTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
